2025-03-06 13:18:05 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-06 13:18:05 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-03-06 13:18:05 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-06 13:18:05 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-06 13:18:06 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-06 13:18:06 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@70ed902a
2025-03-06 13:18:06 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-06 13:18:06 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-03-06 13:18:08 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-06 13:18:09 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-06 13:18:10 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-06 13:18:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4ac1544f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4578d654, org.springframework.security.web.context.SecurityContextHolderFilter@6adc90e9, org.springframework.security.web.header.HeaderWriterFilter@19faa9dc, org.springframework.web.filter.CorsFilter@25865fca, org.springframework.security.web.csrf.CsrfFilter@6421d85c, org.springframework.security.web.authentication.logout.LogoutFilter@7aaf0f0a, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@5f67ff3e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@aeb8ee2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@320ca97c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4c32aa7e, org.springframework.security.web.access.ExceptionTranslationFilter@70e560ef, org.springframework.security.web.access.intercept.AuthorizationFilter@3db48e6]
2025-03-06 13:18:11 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8086"]
2025-03-06 13:18:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8086 (http) with context path ''
2025-03-06 13:18:11 [main] INFO  c.s.cart.CartServiceApplication - Started CartServiceApplication in 11.176 seconds (process running for 12.041)
2025-03-06 13:18:55 [http-nio-8086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-06 13:18:55 [http-nio-8086-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-06 13:18:55 [http-nio-8086-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-03-06 13:18:55 [http-nio-8086-exec-1] INFO  c.s.cart.controller.CartController - getCart from userId bb0f0e96-1517-4c7e-859d-89bb35e51de8
2025-03-06 13:20:00 [http-nio-8086-exec-3] INFO  c.s.cart.controller.CartController - getCart from userId bb0f0e96-1517-4c7e-859d-89bb35e51de8
2025-03-06 13:22:57 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-03-06 13:22:58 [main] INFO  c.s.cart.CartServiceApplication - Starting CartServiceApplication using Java 21.0.6 with PID 26244 (C:\okokok\ecommerce-app\cart-service\target\classes started by SoukainaGuassmi in C:\okokok\ecommerce-app\cart-service)
2025-03-06 13:22:58 [main] INFO  c.s.cart.CartServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-06 13:22:59 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-03-06 13:22:59 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-06 13:22:59 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 242 ms. Found 1 JPA repository interface.
2025-03-06 13:23:00 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-03-06 13:23:00 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-03-06 13:23:00 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.soukaina.cart.repository.CartRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-03-06 13:23:00 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2025-03-06 13:23:00 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=bfd8b312-4107-37a2-8602-7c043385b9c7
2025-03-06 13:23:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8086 (http)
2025-03-06 13:23:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8086"]
2025-03-06 13:23:01 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-06 13:23:01 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2025-03-06 13:23:02 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
